species,wavelength_nm,relative_intensity,region,source,retrieved
Th I,380.41546,24000.0,blue,NIST ASD,2026-09-08
Th II,380.639786,7900.0,blue,NIST ASD,2026-09-08
Th II,393.078176,9100.0,blue,NIST ASD,2026-09-08
Th I,395.151311,42000.0,blue,NIST ASD,2026-09-08
Th II,402.026473,20000.0,blue,NIST ASD,2026-09-08
Th I,403.718804,24000.0,blue,NIST ASD,2026-09-08
Ar I,415.9762,400.0,blue,NIST ASD,2026-09-08
Ar I,420.1858,400.0,blue,NIST ASD,2026-09-08
Th II,422.791582,42000.0,blue,NIST ASD,2026-09-08
Ar I,426.0561,200.0,blue,NIST ASD,2026-09-08
Ar II,440.222218,8710.0,blue,NIST ASD,2026-09-08
Th I,449.459422,28000.0,blue,NIST ASD,2026-09-08
Ar II,459.118365,25704.0,blue,NIST ASD,2026-09-08
Ar II,472.819038,23442.0,blue,NIST ASD,2026-09-08
Ar II,501.856198,7413.0,green-yellow,NIST ASD,2026-09-08
Ar II,506.34483,398.0,green-yellow,NIST ASD,2026-09-08
Ar II,514.321509,224.0,green-yellow,NIST ASD,2026-09-08
Ar I,549.7401,25.0,green-yellow,NIST ASD,2026-09-08
Th I,558.85777,20000.0,green-yellow,NIST ASD,2026-09-08
Ar I,560.829,35.0,green-yellow,NIST ASD,2026-09-08
Th II,564.131166,2800.0,green-yellow,NIST ASD,2026-09-08
Th II,570.868669,2900.0,green-yellow,NIST ASD,2026-09-08
Th I,572.176951,31000.0,green-yellow,NIST ASD,2026-09-08
Th I,576.214823,53000.0,green-yellow,NIST ASD,2026-09-08
Ar I,591.3723,50.0,green-yellow,NIST ASD,2026-09-08
Th II,599.070362,3700.0,green-yellow,NIST ASD,2026-09-08
Th II,611.452957,1300.0,red,NIST ASD,2026-09-08
Ar II,611.66158,537.0,red,NIST ASD,2026-09-08
Ar II,617.39855,407.0,red,NIST ASD,2026-09-08
Th I,618.433236,38000.0,red,NIST ASD,2026-09-08
Th II,627.5852,2000.0,red,NIST ASD,2026-09-08
Th I,645.90669,44000.0,red,NIST ASD,2026-09-08
Th II,646.443447,1200.0,red,NIST ASD,2026-09-08
Th I,658.57243,32000.0,red,NIST ASD,2026-09-08
Ar II,664.553197,269.0,red,NIST ASD,2026-09-08
Ar II,668.613808,204.0,red,NIST ASD,2026-09-08
Ar I,696.7352,10000.0,red,NIST ASD,2026-09-08
Ar I,706.9167,10000.0,red,NIST ASD,2026-09-08
Ar I,727.494,2000.0,red,NIST ASD,2026-09-08
Ar I,738.6014,10000.0,red,NIST ASD,2026-09-08
