feature_id,relative_peak_signal,strength_band,strategy,trials,bias_px,rmse_px,median_absolute_error_px,p95_absolute_error_px,catastrophic_fraction
L01,1.0,strong,fixed_120s,1000,-0.015766,0.01597329,0.01572004,0.02007375,0.0
L01,1.0,strong,fixed_180s,1000,0.0208548,0.02096403,0.02090804,0.02450491,0.0
L01,1.0,strong,longest_unsaturated,1000,2.153e-05,0.00289915,0.00201396,0.00569833,0.0
L01,1.0,strong,pixelwise_hdr,1000,2.555e-05,0.00193262,0.00126244,0.00374202,0.0
L02,0.997387,strong,fixed_120s,1000,0.02587733,0.02599135,0.02580314,0.02986495,0.0
L02,0.997387,strong,fixed_180s,1000,-0.01625145,0.01640353,0.01625002,0.01975414,0.0
L02,0.997387,strong,longest_unsaturated,1000,-8.844e-05,0.00288909,0.00192073,0.00579909,0.0
L02,0.997387,strong,pixelwise_hdr,1000,-0.00027481,0.0021106,0.00139289,0.00408231,0.0
L03,0.957048,strong,fixed_120s,1000,-0.01577507,0.01595941,0.01590239,0.01962949,0.0
L03,0.957048,strong,fixed_180s,1000,0.00951602,0.00978139,0.00953005,0.013198,0.0
L03,0.957048,strong,longest_unsaturated,1000,-4.939e-05,0.00312547,0.00207152,0.00598747,0.0
L03,0.957048,strong,pixelwise_hdr,1000,6.729e-05,0.00204765,0.00134572,0.00402834,0.0
L04,0.929095,strong,fixed_120s,1000,0.01081491,0.01109272,0.01090409,0.01497347,0.0
L04,0.929095,strong,fixed_180s,1000,-0.00220936,0.00309212,0.00240903,0.0055476,0.0
L04,0.929095,strong,longest_unsaturated,1000,9.34e-05,0.0031218,0.00216732,0.00630503,0.0
L04,0.929095,strong,pixelwise_hdr,1000,-7.76e-06,0.00203189,0.00136158,0.00400153,0.0
L05,0.892871,strong,fixed_120s,1000,-0.01082121,0.01108201,0.01077399,0.01462343,0.0
L05,0.892871,strong,fixed_180s,1000,-0.0025761,0.00341066,0.00268035,0.00605102,0.0
L05,0.892871,strong,longest_unsaturated,1000,-7.676e-05,0.00306388,0.00197561,0.00602303,0.0
L05,0.892871,strong,pixelwise_hdr,1000,9.023e-05,0.00211919,0.00147067,0.00417465,0.0
L06,0.865939,strong,fixed_120s,1000,-0.00575236,0.00625844,0.00576201,0.00969681,0.0
L06,0.865939,strong,fixed_180s,1000,-0.00741323,0.00773315,0.00745372,0.01104897,0.0
L06,0.865939,strong,longest_unsaturated,1000,-5.826e-05,0.00322129,0.00213072,0.00621284,0.0
L06,0.865939,strong,pixelwise_hdr,1000,-1.9e-05,0.0021368,0.00140303,0.00411967,0.0
L07,0.823162,strong,fixed_120s,1000,0.0015725,0.00285939,0.00197723,0.00548609,0.0
L07,0.823162,strong,fixed_180s,1000,-0.01687477,0.01701029,0.01688302,0.02018363,0.0
L07,0.823162,strong,longest_unsaturated,1000,-0.00023201,0.00323269,0.00211164,0.00643661,0.0
L07,0.823162,strong,pixelwise_hdr,1000,-2.882e-05,0.00221116,0.00148913,0.00436326,0.0
L08,0.393146,intermediate,fixed_120s,1000,0.00013856,0.00330045,0.00221064,0.00641778,0.0
L08,0.393146,intermediate,fixed_180s,1000,-2.37e-06,0.00266578,0.00185517,0.00499628,0.0
L08,0.393146,intermediate,longest_unsaturated,1000,0.00013856,0.00330045,0.00221064,0.00641778,0.0
L08,0.393146,intermediate,pixelwise_hdr,1000,-7.96e-06,0.00267264,0.00184048,0.00500261,0.0
L09,0.211112,intermediate,fixed_120s,1000,0.00014083,0.00470661,0.0031528,0.00903384,0.0
L09,0.211112,intermediate,fixed_180s,1000,-7.657e-05,0.00362837,0.00243426,0.00734518,0.0
L09,0.211112,intermediate,longest_unsaturated,1000,-7.657e-05,0.00362837,0.00243426,0.00734518,0.0
L09,0.211112,intermediate,pixelwise_hdr,1000,-7.657e-05,0.00362837,0.00243426,0.00734518,0.0
L10,0.164689,intermediate,fixed_120s,1000,0.00024646,0.00501559,0.00333799,0.00962676,0.0
L10,0.164689,intermediate,fixed_180s,1000,2.947e-05,0.00411779,0.00275047,0.00803432,0.0
L10,0.164689,intermediate,longest_unsaturated,1000,2.947e-05,0.00411779,0.00275047,0.00803432,0.0
L10,0.164689,intermediate,pixelwise_hdr,1000,2.947e-05,0.00411779,0.00275047,0.00803432,0.0
L11,0.127588,intermediate,fixed_120s,1000,-0.00012821,0.00607869,0.00405618,0.01192543,0.0
L11,0.127588,intermediate,fixed_180s,1000,-6.528e-05,0.00472208,0.00324798,0.00944815,0.0
L11,0.127588,intermediate,longest_unsaturated,1000,-6.528e-05,0.00472208,0.00324798,0.00944815,0.0
L11,0.127588,intermediate,pixelwise_hdr,1000,-6.528e-05,0.00472208,0.00324798,0.00944815,0.0
L12,0.120466,intermediate,fixed_120s,1000,0.00029516,0.00624231,0.00421019,0.0121119,0.0
L12,0.120466,intermediate,fixed_180s,1000,0.0002475,0.00510881,0.00326393,0.01026355,0.0
L12,0.120466,intermediate,longest_unsaturated,1000,0.0002475,0.00510881,0.00326393,0.01026355,0.0
L12,0.120466,intermediate,pixelwise_hdr,1000,0.0002475,0.00510881,0.00326393,0.01026355,0.0
L13,0.109545,faint,fixed_120s,1000,5.766e-05,0.00647778,0.00435181,0.01227765,0.0
L13,0.109545,faint,fixed_180s,1000,0.00010478,0.00521382,0.00346938,0.01003871,0.0
L13,0.109545,faint,longest_unsaturated,1000,0.00010478,0.00521382,0.00346938,0.01003871,0.0
L13,0.109545,faint,pixelwise_hdr,1000,0.00010478,0.00521382,0.00346938,0.01003871,0.0
L14,0.105378,faint,fixed_120s,1000,-0.00047851,0.0065887,0.00470405,0.01259389,0.0
L14,0.105378,faint,fixed_180s,1000,0.00015613,0.00537786,0.0036538,0.01071156,0.0
L14,0.105378,faint,longest_unsaturated,1000,0.00015613,0.00537786,0.0036538,0.01071156,0.0
L14,0.105378,faint,pixelwise_hdr,1000,0.00015613,0.00537786,0.0036538,0.01071156,0.0
L15,0.104586,faint,fixed_120s,1000,0.00019682,0.00646018,0.00426809,0.01279189,0.0
L15,0.104586,faint,fixed_180s,1000,1.403e-05,0.00558542,0.00373292,0.01086988,0.0
L15,0.104586,faint,longest_unsaturated,1000,1.403e-05,0.00558542,0.00373292,0.01086988,0.0
L15,0.104586,faint,pixelwise_hdr,1000,1.403e-05,0.00558542,0.00373292,0.01086988,0.0
L16,0.100014,faint,fixed_120s,1000,5.123e-05,0.0067551,0.00467603,0.01318769,0.0
L16,0.100014,faint,fixed_180s,1000,-0.00042677,0.00537646,0.00357811,0.01047626,0.0
L16,0.100014,faint,longest_unsaturated,1000,-0.00042677,0.00537646,0.00357811,0.01047626,0.0
L16,0.100014,faint,pixelwise_hdr,1000,-0.00042677,0.00537646,0.00357811,0.01047626,0.0
L17,0.09992,faint,fixed_120s,1000,0.00031741,0.00675971,0.00456755,0.0130033,0.0
L17,0.09992,faint,fixed_180s,1000,0.00035613,0.00542528,0.00360936,0.01059414,0.0
L17,0.09992,faint,longest_unsaturated,1000,0.00035613,0.00542528,0.00360936,0.01059414,0.0
L17,0.09992,faint,pixelwise_hdr,1000,0.00035613,0.00542528,0.00360936,0.01059414,0.0
L18,0.098009,faint,fixed_120s,1000,-0.0007588,0.00710789,0.00479835,0.01373196,0.0
L18,0.098009,faint,fixed_180s,1000,-0.00020766,0.00556859,0.00379952,0.01076516,0.0
L18,0.098009,faint,longest_unsaturated,1000,-0.00020766,0.00556859,0.00379952,0.01076516,0.0
L18,0.098009,faint,pixelwise_hdr,1000,-0.00020766,0.00556859,0.00379952,0.01076516,0.0
L19,0.092318,faint,fixed_120s,1000,0.00047706,0.00724282,0.00477167,0.01415832,0.0
L19,0.092318,faint,fixed_180s,1000,0.00012726,0.00568671,0.0037443,0.01105089,0.0
L19,0.092318,faint,longest_unsaturated,1000,0.00012726,0.00568671,0.0037443,0.01105089,0.0
L19,0.092318,faint,pixelwise_hdr,1000,0.00012726,0.00568671,0.0037443,0.01105089,0.0
L20,0.088582,faint,fixed_120s,1000,-0.00049253,0.00728637,0.00487078,0.01397889,0.0
L20,0.088582,faint,fixed_180s,1000,0.00024138,0.00586224,0.00387555,0.01139185,0.0
L20,0.088582,faint,longest_unsaturated,1000,0.00024138,0.00586224,0.00387555,0.01139185,0.0
L20,0.088582,faint,pixelwise_hdr,1000,0.00024138,0.00586224,0.00387555,0.01139185,0.0
L21,0.081655,faint,fixed_120s,1000,-0.00052266,0.00815237,0.00523864,0.01662701,0.0
L21,0.081655,faint,fixed_180s,1000,-0.00013785,0.0060452,0.00415141,0.01141683,0.0
L21,0.081655,faint,longest_unsaturated,1000,-0.00013785,0.0060452,0.00415141,0.01141683,0.0
L21,0.081655,faint,pixelwise_hdr,1000,-0.00013785,0.0060452,0.00415141,0.01141683,0.0
L22,0.08128,faint,fixed_120s,1000,0.00017863,0.00744074,0.00521138,0.01462571,0.0
L22,0.08128,faint,fixed_180s,1000,-0.00031165,0.00595537,0.0040652,0.01165212,0.0
L22,0.08128,faint,longest_unsaturated,1000,-0.00031165,0.00595537,0.0040652,0.01165212,0.0
L22,0.08128,faint,pixelwise_hdr,1000,-0.00031165,0.00595537,0.0040652,0.01165212,0.0
L23,0.081275,faint,fixed_120s,1000,-0.00060982,0.00761919,0.00496082,0.01521364,0.0
L23,0.081275,faint,fixed_180s,1000,0.00017578,0.0062311,0.00445823,0.01207372,0.0
L23,0.081275,faint,longest_unsaturated,1000,0.00017578,0.0062311,0.00445823,0.01207372,0.0
L23,0.081275,faint,pixelwise_hdr,1000,0.00017578,0.0062311,0.00445823,0.01207372,0.0
L24,0.061534,faint,fixed_120s,1000,-0.0006638,0.00880463,0.00572785,0.01698962,0.0
L24,0.061534,faint,fixed_180s,1000,-0.00060422,0.00736769,0.00468285,0.01467843,0.0
L24,0.061534,faint,longest_unsaturated,1000,-0.00060422,0.00736769,0.00468285,0.01467843,0.0
L24,0.061534,faint,pixelwise_hdr,1000,-0.00060422,0.00736769,0.00468285,0.01467843,0.0
